REF_DATE,GEO,DGUID,Coordinate,"Population and dwelling counts (13): Population, 2021 [1]",Symbols,"Population and dwelling counts (13): Population, 2016 [2]",Symbols.1,"Population and dwelling counts (13): Population percentage change, 2016 to 2021 [3]",Symbols.2,"Population and dwelling counts (13): Total private dwellings, 2021 [4]",Symbols.3,"Population and dwelling counts (13): Total private dwellings, 2016 [5]",Symbols.4,"Population and dwelling counts (13): Total private dwellings percentage change, 2016 to 2021 [6]",Symbols.5,"Population and dwelling counts (13): Private dwellings occupied by usual residents, 2021 [7]",Symbols.6,"Population and dwelling counts (13): Private dwellings occupied by usual residents, 2016 [8]",Symbols.7,"Population and dwelling counts (13): Private dwellings occupied by usual residents percentage change, 2016 to 2021 [9]",Symbols.8,"Population and dwelling counts (13): Land area in square kilometres, 2021 [10]",Symbols.9,"Population and dwelling counts (13): Population density per square kilometre, 2021 [11]",Symbols.10,"Population and dwelling counts (13): National population rank, 2021 [12]",Symbols.11,"Population and dwelling counts (13): Province/territory population rank, 2021 [13]",Symbols.12
2021-01-01,Division No. 22,2021A00034622,3116,42226,,42165,,0.1,,12478,,12356,,1.0,,10871,,10891,,-0.2,,89802.82,,0.5,,145,,6,
2021-01-01,Cross Lake 19,2021A00054622051,3117,1865,,1607,,16.1,,430,,369,,16.5,,381,,347,,9.8,,23.18,,80.5,,1435,,84,
2021-01-01,Cross Lake 19A,2021A00054622052,3118,2045,,1922,,6.4,,421,,373,,12.9,,376,,357,,5.3,,6.05,,338.1,,1365,,79,
2021-01-01,Cross Lake 19E,2021A00054622067,3119,763,,846,r,-9.8,,161,,153,r,5.2,,145,,143,r,1.4,,7.32,,104.2,,2420,,159,
2021-01-01,"Division No. 22, Unorganized",2021A00054622046,3120,2162,,2700,r,-19.9,,1139,,1143,r,-0.3,,748,,859,r,-12.9,,85723.96,,0.0,,1316,,74,
2021-01-01,Garden Hill First Nation,2021A00054622048,3121,3054,,2603,r,17.3,,665,,614,r,8.3,,590,,510,r,15.7,,83.05,,36.8,,1028,,51,
2021-01-01,God's Lake 23,2021A00054622049,3122,1520,,1211,r,25.5,,376,,306,r,22.9,,328,,297,r,10.4,,36.66,,41.5,,1654,,105,
2021-01-01,God's River 86A,2021A00054622055,3123,809,,628,r,28.8,,170,,125,r,36.0,,148,,108,r,37.0,,2.35,,344.2,,2354,,158,
2021-01-01,Ilford,2021A00054622064,3124,62,,31,r,100.0,,18,,8,r,125.0,,18,,7,r,157.1,,14.09,,4.4,,4448,,209,
2021-01-01,Mooseocoot,2021A00054622802,3125,60,,70,r,-14.3,,21,,22,r,-4.5,,19,,21,r,-9.5,,0.06,,925.9,,4454,,210,
2021-01-01,Mooseocoot 4,2021A00054622066,3126,0,,5,r,-100.0,,0,,1,r,-100.0,,0,,1,r,-100.0,,0.05,,0.0,,4831,,222,
2021-01-01,Mystery Lake,2021A00054622017,3127,0,,0,,,...,0,,0,,,...,0,,0,,,...,3351.37,,0.0,,4831,,222,
2021-01-01,Nelson House 170,2021A00054622059,3128,2397,,2500,r,-4.1,,511,,506,r,1.0,,485,,478,r,1.5,,17.25,,138.9,,1227,,68,
2021-01-01,Norway House 17,2021A00054622058,3129,5390,,4807,r,12.1,,1298,,1172,r,10.8,,1193,,1074,r,11.1,,82.12,,65.6,,695,,30,
2021-01-01,Oxford House 24,2021A00054622050,3130,,..,1955,r,,..,,..,389,r,,..,,..,341,r,,..,49.32,,,..,,..,,..
2021-01-01,Red Sucker Lake 1976,2021A00054622056,3131,725,,757,r,-4.2,,181,,181,r,0.0,,163,,160,r,1.9,,2.34,,309.2,,2478,,162,
2021-01-01,Red Sucker Lake 1976A,2021A00054622045,3132,147,,112,r,31.3,,28,,30,r,-6.7,,27,,25,r,8.0,,17.64,,8.3,,4072,,199,
2021-01-01,Split Lake 171,2021A00054622063,3133,2232,,2044,,9.2,,421,,427,,-1.4,,410,,357,,14.8,,130.23,,17.1,,1291,,70,
2021-01-01,St. Theresa Point,2021A00054622801,3134,3417,,3262,,4.8,,636,,664,,-4.2,,616,,596,,3.4,,147.93,,23.1,,949,,43,
2021-01-01,Thompson,2021A00054622026,3135,13035,,13678,,-4.7,,5442,,5482,,-0.7,,4676,,4910,,-4.8,,16.62,,784.3,,335,,8,
2021-01-01,Wasagamack,2021A00054622800,3136,2088,,1403,,48.8,,417,,284,,46.8,,417,,284,,46.8,,77.90,,26.8,,1347,,78,
2021-01-01,York Landing,2021A00054622065,3137,455,,443,,2.7,,143,,138,,3.6,,131,,116,,12.9,,13.32,,34.2,,3036,,178,
2021-01-01,Division No. 23,2021A00034623,3138,4690,,8971,,-47.7,,2293,,2967,,-22.7,,1529,,2423,,-36.9,,233578.64,,0.0,,286,,23,
2021-01-01,A Kwis Ki Mahka,2021A00054623023,3139,58,,64,r,-9.4,,21,,26,r,-19.2,,19,,22,r,-13.6,,0.02,,2566.4,,4465,,211,
2021-01-01,Black Sturgeon,2021A00054623800,3140,149,,0,,,...,34,,0,,,...,33,,0,,,...,23.84,,6.3,,4060,,198,
2021-01-01,Brochet 197,2021A00054623065,3141,,..,506,r,,..,,..,138,r,,..,,..,116,r,,..,37.08,,,..,,..,,..
2021-01-01,Churchill,2021A00054623056,3142,870,,899,,-3.2,,540,,433,,24.7,,389,,392,,-0.8,,50.83,,17.1,,2279,,155,
2021-01-01,Churchill 1,2021A00054623058,3143,,..,324,,,..,,..,137,,,..,,..,117,,,..,2.09,,,..,,..,,..
2021-01-01,"Division No. 23, Unorganized",2021A00054623062,3144,74,,283,r,-73.9,,101,,71,r,42.3,,38,,67,r,-43.3,,229309.25,,0.0,,4387,,208,
2021-01-01,Fox Lake 2,2021A00054623027,3145,126,,156,,-19.2,,55,,55,,0.0,,45,,49,,-8.2,,0.41,,307.8,,4144,,201,
2021-01-01,Gillam,2021A00054623022,3146,1007,,1201,r,-16.2,,588,,560,r,5.0,,352,,414,r,-15.0,,1994.44,,0.5,,2104,,148,
2021-01-01,Granville Lake,2021A00054623039,3147,,..,10,,,..,,..,11,,,..,,..,6,,,..,2.54,,,..,,..,,..
2021-01-01,Lac Brochet 197A,2021A00054623067,3148,641,,728,,-12.0,,194,,178,,9.0,,162,,170,,-4.7,,4.49,,142.9,,2643,,167,
2021-01-01,Leaf Rapids,2021A00054623034,3149,351,,582,,-39.7,,266,,272,,-2.2,,118,,183,,-35.5,,1237.66,,0.3,,3339,,185,
2021-01-01,Lynn Lake,2021A00054623047,3150,579,,494,,17.2,,293,,263,,11.4,,186,,176,,5.7,,867.53,,0.7,,2752,,170,
2021-01-01,O-Pipon-Na-Piwin Cree Nation 1,2021A00054623040,3151,257,,40,r,542.5,,54,,10,r,440.0,,51,,9,r,466.7,,0.02,,15207.1,,3649,,189,
2021-01-01,Pukatawagan 198,2021A00054623064,3152,,..,1844,r,,..,,..,384,r,,..,,..,347,r,,..,15.51,,,..,,..,,..
2021-01-01,Shamattawa 1,2021A00054623071,3153,,..,1019,,,..,,..,203,,,..,,..,179,,,..,22.40,,,..,,..,,..
2021-01-01,South Indian Lake,2021A00054623037,3154,578,,941,r,-38.6,,147,,226,r,-35.0,,136,,191,r,-28.8,,10.54,,54.8,,2758,,171,
2021-01-01,Saskatchewan,2021A000247,3155,1132505,,1098352,,3.1,,513725,,495582,,3.7,,449581,,432622,,3.9,,577060.40,,2.0,,,...,,...
2021-01-01,Division No.  1,2021A00034701,3156,30351,,31766,,-4.5,,15608,,15738,,-0.8,,12565,,12890,,-2.5,,14654.35,,2.1,,182,,12,
2021-01-01,Alameda,2021A00054701037,3157,345,,369,,-6.5,,187,,187,,0.0,,162,,172,,-5.8,,2.53,,136.6,,3363,,431,
2021-01-01,Alida,2021A00054701041,3158,103,,120,,-14.2,,74,,68,,8.8,,53,,63,,-15.9,,0.38,,272.0,,4239,,728,
2021-01-01,Antler No. 61,2021A00054701047,3159,451,,523,,-13.8,,199,,240,,-17.1,,179,,202,,-11.4,,804.28,,0.6,,3043,,331,
2021-01-01,Arcola,2021A00054701059,3160,636,,657,,-3.2,,320,,321,,-0.3,,269,,281,,-4.3,,3.46,,183.8,,2653,,227,
2021-01-01,Argyle No. 1,2021A00054701001,3161,331,,290,,14.1,,142,,110,,29.1,,125,,105,,19.0,,567.05,,0.6,,3413,,449,
2021-01-01,Benson No. 35,2021A00054701027,3162,450,,472,,-4.7,,212,,196,,8.2,,171,,177,,-3.4,,808.53,,0.6,,3045,,332,
2021-01-01,Bienfait,2021A00054701021,3163,668,,762,,-12.3,,355,,370,,-4.1,,284,,334,,-15.0,,3.05,,218.7,,2593,,213,
2021-01-01,Brock No. 64,2021A00054701058,3164,252,,267,,-5.6,,121,,122,,-0.8,,109,,115,,-5.2,,784.64,,0.3,,3671,,543,
2021-01-01,Browning No. 34,2021A00054701031,3165,355,,375,,-5.3,,172,,163,,5.5,,146,,144,,1.4,,797.00,,0.4,,3328,,421,
2021-01-01,Carievale,2021A00054701004,3166,85,,240,,-64.6,,37,,110,,-66.4,,34,,105,,-67.6,,1.51,,56.1,,4327,,753,
2021-01-01,Carlyle,2021A00054701056,3167,1524,,1508,,1.1,,686,,685,,0.1,,620,,619,,0.2,,5.41,,281.9,,1650,,64,
2021-01-01,Carnduff,2021A00054701008,3168,1150,,1099,,4.6,,527,,465,,13.3,,430,,426,,0.9,,2.61,,441.0,,1947,,103,
2021-01-01,Coalfields No. 4,2021A00054701016,3169,330,,368,,-10.3,,157,,183,,-14.2,,133,,148,,-10.1,,818.16,,0.4,,3415,,450,
2021-01-01,Enniskillen No. 3,2021A00054701011,3170,422,,459,,-8.1,,193,,201,,-4.0,,167,,182,,-8.2,,820.04,,0.5,,3111,,348,
2021-01-01,Estevan,2021A00054701024,3171,10851,,11483,,-5.5,,5368,,5371,,-0.1,,4584,,4691,,-2.3,,18.30,,592.9,,402,,11,
2021-01-01,Estevan No. 5,2021A00054701022,3172,1279,,1370,,-6.6,,527,,525,,0.4,,474,,487,,-2.7,,772.00,,1.7,,1827,,80,
2021-01-01,Fairlight,2021A00054701098,3173,25,,40,,-37.5,,21,,21,,0.0,,12,,18,,-33.3,,2.58,,9.7,,4629,,856,
2021-01-01,Forget,2021A00054701064,3174,35,,55,,-36.4,,22,,24,,-8.3,,18,,23,,-21.7,,1.37,,25.5,,4577,,843,
2021-01-01,Frobisher,2021A00054701017,3175,127,,160,,-20.6,,71,,88,,-19.3,,54,,65,,-16.9,,1.43,,89.1,,4139,,691,
2021-01-01,Gainsborough,2021A00054701002,3176,227,,254,,-10.6,,144,,144,,0.0,,113,,124,,-8.9,,0.94,,241.7,,3761,,566,
2021-01-01,Glen Ewen,2021A00054701012,3177,159,,154,,3.2,,70,,78,,-10.3,,64,,69,,-7.2,,2.59,,61.4,,4009,,649,
2021-01-01,Golden West No. 95,2021A00054701069,3178,289,,291,,-0.7,,129,,138,,-6.5,,114,,124,,-8.1,,781.59,,0.4,,3545,,490,
2021-01-01,Hazelwood No. 94,2021A00054701072,3179,244,,230,,6.1,,100,,112,,-10.7,,95,,94,,1.1,,714.41,,0.3,,3703,,552,
2021-01-01,Heward,2021A00054701067,3180,30,,44,,-31.8,,20,,20,,0.0,,15,,19,,-21.1,,0.92,,32.4,,4592,,848,
2021-01-01,Kennedy,2021A00054701077,3181,232,,216,,7.4,,131,,143,,-8.4,,115,,103,,11.7,,1.57,,147.6,,3741,,562,
2021-01-01,Kenosee Lake,2021A00054701079,3182,236,,234,r,0.9,,147,,180,r,-18.3,,105,,118,r,-11.0,,0.40,,593.1,,3728,,558,
2021-01-01,Kisbey,2021A00054701061,3183,158,,153,,3.3,,95,,95,,0.0,,77,,83,,-7.2,,2.69,,58.7,,4015,,652,
2021-01-01,Lampman,2021A00054701032,3184,673,,675,,-0.3,,327,,317,,3.2,,271,,270,,0.4,,2.13,,316.7,,2581,,208,
2021-01-01,Manor,2021A00054701054,3185,305,,295,,3.4,,165,,165,,0.0,,138,,128,,7.8,,2.58,,118.3,,3492,,472,
2021-01-01,Maryfield,2021A00054701096,3186,311,,348,,-10.6,,157,,178,,-11.8,,130,,139,,-6.5,,2.57,,121.2,,3475,,466,
2021-01-01,Maryfield No. 91,2021A00054701094,3187,258,,324,,-20.4,,108,,132,,-18.2,,100,,125,,-20.0,,748.67,,0.3,,3647,,534,
2021-01-01,Moose Creek No. 33,2021A00054701036,3188,306,,379,,-19.3,,136,,151,,-9.9,,116,,132,,-12.1,,828.74,,0.4,,3489,,470,
2021-01-01,Moose Mountain No. 63,2021A00054701053,3189,489,,492,,-0.6,,224,,218,,2.8,,198,,189,,4.8,,718.23,,0.7,,2967,,309,
2021-01-01,Mount Pleasant No. 2,2021A00054701006,3190,419,,414,,1.2,,182,,151,,20.5,,152,,144,,5.6,,772.71,,0.5,,3119,,352,
2021-01-01,North Portal,2021A00054701018,3191,113,,115,,-1.7,,62,,66,,-6.1,,53,,52,,1.9,,2.65,,42.7,,4203,,717,
2021-01-01,Ocean Man 69,2021A00054701809,3192,164,,185,,-11.4,,48,,61,,-21.3,,45,,56,,-19.6,,18.78,,8.7,,3994,,643,
2021-01-01,Ocean Man 69A,2021A00054701810,3193,5,,0,,,...,4,,0,,,...,4,,0,,,...,2.62,,1.9,,4760,,888,
2021-01-01,Ocean Man 69C,2021A00054701812,3194,15,,0,,,...,4,,0,,,...,3,,0,,,...,3.56,,4.2,,4694,,879,
2021-01-01,Ocean Man 69D,2021A00054701818,3195,0,,5,,-100.0,,1,,2,,-50.0,,1,,2,,-50.0,,1.74,,0.0,,4831,,900,
2021-01-01,Ocean Man 69E,2021A00054701813,3196,10,,0,,,...,3,,0,,,...,3,,0,,,...,3.86,,2.6,,4722,,883,
2021-01-01,Ocean Man 69F,2021A00054701814,3197,5,,0,,,...,2,,0,,,...,2,,0,,,...,2.06,,2.4,,4760,,888,
2021-01-01,Ocean Man 69G,2021A00054701815,3198,0,,0,,,...,1,,0,,,...,1,,0,,,...,0.61,,0.0,,4831,,900,
2021-01-01,Ocean Man 69H,2021A00054701817,3199,5,,5,,0.0,,3,,3,,0.0,,3,,3,,0.0,,6.15,,0.8,,4760,,888,
2021-01-01,Ocean Man 69I,2021A00054701816,3200,5,,5,,0.0,,1,,1,,0.0,,1,,1,,0.0,,1.62,,3.1,,4760,,888,
2021-01-01,Oxbow,2021A00054701014,3201,1286,,1328,,-3.2,,574,,576,,-0.3,,494,,507,,-2.6,,3.33,,386.6,,1820,,79,
2021-01-01,Pheasant Rump Nakota 68,2021A00054701819,3202,72,,56,,28.6,,28,,18,,55.6,,26,,11,,136.4,,74.99,,1.0,,4399,,782,
2021-01-01,Reciprocity No. 32,2021A00054701039,3203,351,,344,,2.0,,163,,145,,12.4,,141,,135,,4.4,,707.95,,0.5,,3339,,426,
2021-01-01,Redvers,2021A00054701049,3204,1008,,1042,,-3.3,,514,,507,,1.4,,443,,453,,-2.2,,2.90,,348.2,,2102,,123,
2021-01-01,Roche Percée,2021A00054701019,3205,75,,110,,-31.8,,48,,50,,-4.0,,36,,45,,-20.0,,2.87,,26.1,,4375,,770,
2021-01-01,Storthoaks,2021A00054701044,3206,86,,108,,-20.4,,43,,48,,-10.4,,31,,43,,-27.9,,0.45,,192.3,,4321,,751,
2021-01-01,Storthoaks No. 31,2021A00054701043,3207,306,,292,,4.8,,131,,121,,8.3,,114,,112,,1.8,,551.21,,0.6,,3489,,470,
2021-01-01,Stoughton,2021A00054701066,3208,652,,649,,0.5,,378,,337,,12.2,,314,,285,,10.2,,3.45,,189.0,,2614,,217,
2021-01-01,Tecumseh No. 65,2021A00054701063,3209,255,,271,,-5.9,,130,,126,,3.2,,105,,110,,-4.5,,798.92,,0.3,,3658,,537,
2021-01-01,Walpole No. 92,2021A00054701091,3210,292,,326,,-10.4,,135,,149,,-9.4,,116,,126,,-7.9,,832.36,,0.4,,3535,,487,
2021-01-01,Wawken No. 93,2021A00054701076,3211,614,,571,r,7.5,,554,,596,r,-7.0,,287,,249,r,15.3,,743.50,,0.8,,2688,,237,
2021-01-01,Wawota,2021A00054701078,3212,555,,543,,2.2,,287,,288,,-0.3,,245,,245,,0.0,,1.28,,435.1,,2807,,267,
2021-01-01,White Bear 70,2021A00054701808,3213,722,,691,,4.5,,968,,972,,-0.4,,270,,237,,13.9,,92.45,,7.8,,2485,,189,
2021-01-01,Division No.  2,2021A00034702,3214,22497,,22825,,-1.4,,10642,,10741,,-0.9,,9362,,9389,,-0.3,,16535.88,,1.4,,204,,14,
2021-01-01,Avonlea,2021A00054702062,3215,411,,393,,4.6,,193,,191,,1.0,,174,,172,,1.2,,1.30,,315.3,,3145,,361,
2021-01-01,Bengough,2021A00054702023,3216,332,,332,,0.0,,207,,250,,-17.2,,175,,185,,-5.4,,1.12,,295.7,,3411,,448,
2021-01-01,Bengough No. 40,2021A00054702024,3217,305,,281,,8.5,,133,,136,,-2.2,,116,,111,,4.5,,1008.64,,0.3,,3492,,472,
2021-01-01,Brokenshell No. 68,2021A00054702051,3218,307,,312,,-1.6,,127,,135,,-5.9,,117,,115,,1.7,,845.97,,0.4,,3486,,468,
2021-01-01,Caledonia No. 99,2021A00054702066,3219,225,,245,,-8.2,,114,,113,,0.9,,91,,97,,-6.2,,846.76,,0.3,,3771,,569,
2021-01-01,Cambria No. 6,2021A00054702001,3220,277,,309,,-10.4,,117,,115,,1.7,,106,,107,,-0.9,,813.31,,0.3,,3592,,508,
2021-01-01,Ceylon,2021A00054702028,3221,97,,111,,-12.6,,57,,53,,7.5,,50,,53,,-5.7,,0.76,,127.2,,4267,,735,
2021-01-01,Creelman,2021A00054702079,3222,103,,113,,-8.8,,62,,75,,-17.3,,47,,56,,-16.1,,1.35,,76.5,,4239,,728,
2021-01-01,Cymri No. 36,2021A00054702037,3223,568,,549,,3.5,,281,,287,,-2.1,,231,,212,,9.0,,816.38,,0.7,,2780,,260,
2021-01-01,Elmsthorpe No. 100,2021A00054702061,3224,195,,226,,-13.7,,112,,115,,-2.6,,92,,98,,-6.1,,824.15,,0.2,,3876,,603,
2021-01-01,Fillmore,2021A00054702078,3225,282,,311,,-9.3,,149,,149,,0.0,,123,,129,,-4.7,,1.32,,212.8,,3568,,497,
2021-01-01,Fillmore No. 96,2021A00054702076,3226,224,,223,,0.4,,124,,119,,4.2,,105,,98,,7.1,,815.57,,0.3,,3773,,570,
2021-01-01,Goodwater,2021A00054702036,3227,40,,30,,33.3,,17,,14,,21.4,,16,,13,,23.1,,0.56,,71.1,,4553,,832,
2021-01-01,Griffin No. 66,2021A00054702042,3228,430,,438,,-1.8,,189,,202,,-6.4,,156,,163,,-4.3,,801.27,,0.5,,3103,,344,
2021-01-01,Halbrite,2021A00054702038,3229,110,,119,,-7.6,,60,,55,,9.1,,49,,51,,-3.9,,1.10,,100.0,,4214,,720,
2021-01-01,Happy Valley No. 10,2021A00054702018,3230,125,,139,,-10.1,,70,,67,,4.5,,54,,55,,-1.8,,806.93,,0.2,,4150,,695,
2021-01-01,Key West No. 70,2021A00054702057,3231,251,,255,,-1.6,,133,,142,,-6.3,,108,,107,,0.9,,786.65,,0.3,,3678,,546,
2021-01-01,Lake Alma No. 8,2021A00054702011,3232,269,,272,r,-1.1,,142,,129,r,10.1,,114,,115,r,-0.9,,785.50,,0.3,,3614,,519,
2021-01-01,Lang,2021A00054702071,3233,176,,189,,-6.9,,98,,96,,2.1,,84,,81,,3.7,,0.65,,272.1,,3949,,630,
2021-01-01,Laurier No. 38,2021A00054702029,3234,253,,296,,-14.5,,110,,115,,-4.3,,95,,105,,-9.5,,816.25,,0.3,,3666,,540,
2021-01-01,Lomond No. 37,2021A00054702033,3235,275,,296,,-7.1,,121,,121,,0.0,,111,,113,,-1.8,,825.60,,0.3,,3597,,510,
2021-01-01,Macoun,2021A00054702041,3236,272,,269,,1.1,,118,,119,,-0.8,,109,,103,,5.8,,1.70,,160.4,,3604,,513,
2021-01-01,McTaggart,2021A00054702048,3237,125,,121,,3.3,,44,,43,,2.3,,42,,41,,2.4,,0.75,,166.9,,4150,,695,
2021-01-01,Midale,2021A00054702039,3238,510,,604,,-15.6,,259,,264,,-1.9,,210,,221,,-5.0,,1.62,,315.3,,2915,,293,
2021-01-01,Milestone,2021A00054702067,3239,682,,699,,-2.4,,291,,296,,-1.7,,264,,275,,-4.0,,2.12,,321.7,,2559,,203,
2021-01-01,Minton,2021A00054702016,3240,50,,55,,-9.1,,39,,32,,21.9,,28,,25,,12.0,,0.25,,200.7,,4507,,819,
2021-01-01,Norton No. 69,2021A00054702052,3241,233,,233,,0.0,,110,,122,,-9.8,,97,,102,,-4.9,,808.81,,0.3,,3735,,560,
2021-01-01,Ogema,2021A00054702058,3242,383,,403,,-5.0,,192,,191,,0.5,,155,,169,,-8.3,,1.33,,287.3,,3232,,387,
2021-01-01,Osage,2021A00054702077,3243,25,,20,,25.0,,13,,14,,-7.1,,9,,10,,-10.0,,0.62,,40.5,,4629,,856,
2021-01-01,Pangman,2021A00054702054,3244,238,,232,,2.6,,112,,116,,-3.4,,99,,93,,6.5,,0.73,,324.9,,3724,,555,
2021-01-01,Radville,2021A00054702031,3245,778,,807,,-3.6,,392,,390,,0.5,,331,,350,,-5.4,,2.95,,263.7,,2397,,173,
2021-01-01,Scott No. 98,2021A00054702069,3246,215,,195,,10.3,,105,,94,,11.7,,86,,78,,10.3,,846.58,,0.3,,3810,,580,
2021-01-01,Souris Valley No. 7,2021A00054702006,3247,220,,249,,-11.6,,110,,128,,-14.1,,94,,99,,-5.1,,804.48,,0.3,,3784,,573,
2021-01-01,Surprise Valley No. 9,2021A00054702014,3248,211,,217,,-2.8,,117,,99,,18.2,,89,,88,,1.1,,802.64,,0.3,,3831,,587,
2021-01-01,The Gap No. 39,2021A00054702026,3249,181,,199,,-9.0,,95,,97,,-2.1,,77,,79,,-2.5,,795.76,,0.2,,3925,,623,
2021-01-01,Torquay,2021A00054702002,3250,215,,255,,-15.7,,103,,116,,-11.2,,91,,99,,-8.1,,1.35,,159.4,,3810,,580,
2021-01-01,Tribune,2021A00054702008,3251,25,,45,,-44.4,,13,,21,,-38.1,,10,,21,,-52.4,,1.69,,14.8,,4629,,856,
2021-01-01,Wellington No. 97,2021A00054702073,3252,274,,371,,-26.1,,139,,155,,-10.3,,119,,146,,-18.5,,831.16,,0.3,,3600,,511,
2021-01-01,Weyburn,2021A00054702047,3253,11019,,10870,,1.4,,5142,,5135,,0.1,,4655,,4586,,1.5,,19.03,,579.1,,395,,10,
2021-01-01,Weyburn No. 67,2021A00054702044,3254,1103,,1064,,3.7,,427,,418,,2.2,,392,,383,,2.3,,808.50,,1.4,,1994,,107,
2021-01-01,Yellow Grass,2021A00054702072,3255,483,,478,,1.0,,205,,212,,-3.3,,191,,185,,3.2,,2.67,,181.1,,2984,,312,
2021-01-01,Division No.  3,2021A00034703,3256,12262,,12610,,-2.8,,6186,,6173,,0.2,,5198,,5358,,-3.0,,18319.12,,0.7,,264,,17,
2021-01-01,Assiniboia,2021A00054703036,3257,2333,,2424,r,-3.8,,1236,,1239,r,-0.2,,1070,,1116,r,-4.1,,3.68,,633.6,,1252,,37,
2021-01-01,Auvergne No. 76,2021A00054703054,3258,381,,412,,-7.5,,132,,141,,-6.4,,105,,118,,-11.0,,846.86,,0.4,,3242,,389,
2021-01-01,Coronach,2021A00054703004,3259,612,,643,,-4.8,,351,,366,,-4.1,,272,,297,,-8.4,,2.34,,261.7,,2694,,239,
2021-01-01,Excel No. 71,2021A00054703029,3260,411,,391,,5.1,,169,,177,,-4.5,,129,,124,,4.0,,1093.31,,0.4,,3145,,361,
2021-01-01,Glen Bain No. 105,2021A00054703064,3261,195,,180,,8.3,,96,,107,,-10.3,,76,,77,,-1.3,,827.17,,0.2,,3876,,603,
2021-01-01,Glen McPherson No. 46,2021A00054703016,3262,76,,72,,5.6,,40,,39,,2.6,,34,,33,,3.0,,845.13,,0.1,,4369,,769,
2021-01-01,Gravelbourg,2021A00054703071,3263,986,,1083,,-9.0,,482,,524,,-8.0,,438,,470,,-6.8,,3.21,,307.1,,2124,,126,
2021-01-01,Gravelbourg No. 104,2021A00054703068,3264,317,,372,r,-14.8,,154,,155,r,-0.6,,125,,144,r,-13.2,,824.45,,0.4,,3453,,461,
2021-01-01,Hart Butte No. 11,2021A00054703001,3265,263,,252,,4.4,,110,,100,,10.0,,100,,97,,3.1,,839.22,,0.3,,3634,,528,
2021-01-01,Hazenmore,2021A00054703052,3266,75,,65,r,15.4,,34,,33,r,3.0,,26,,27,r,-3.7,,0.68,,109.6,,4375,,770,
2021-01-01,Kincaid,2021A00054703051,3267,120,,111,,8.1,,83,,65,,27.7,,59,,56,,5.4,,0.54,,223.9,,4170,,704,
2021-01-01,Lafleche,2021A00054703044,3268,373,,382,,-2.4,,201,,206,,-2.4,,184,,176,,4.5,,1.43,,261.5,,3265,,396,
2021-01-01,Lake Johnston No. 102,2021A00054703093,3269,140,,170,,-17.6,,64,,67,,-4.5,,54,,62,,-12.9,,555.80,,0.3,,4098,,673,
2021-01-01,Lake of the Rivers No. 72,2021A00054703034,3270,252,,279,,-9.7,,107,,121,,-11.6,,101,,111,,-9.0,,665.26,,0.4,,3671,,543,
2021-01-01,Limerick,2021A00054703041,3271,114,,115,,-0.9,,63,,65,,-3.1,,56,,58,,-3.4,,0.61,,186.9,,4201,,716,
2021-01-01,Mankota,2021A00054703019,3272,198,,205,,-3.4,,133,,137,,-2.9,,108,,107,,0.9,,1.50,,132.2,,3871,,600,
2021-01-01,Mankota No. 45,2021A00054703018,3273,289,,292,,-1.0,,158,,154,,2.6,,129,,132,,-2.3,,1693.17,,0.2,,3545,,490,
2021-01-01,Mossbank,2021A00054703092,3274,368,,360,,2.2,,191,,182,,4.9,,170,,165,,3.0,,1.56,,236.5,,3290,,405,
2021-01-01,Neville,2021A00054703061,3275,88,,87,,1.1,,43,,41,,4.9,,37,,37,,0.0,,0.96,,91.8,,4314,,750,
2021-01-01,Old Post No. 43,2021A00054703011,3276,352,,377,,-6.6,,157,,171,,-8.2,,128,,151,,-15.2,,1757.50,,0.2,,3337,,424,
2021-01-01,Pinto Creek No. 75,2021A00054703048,3277,251,,288,r,-12.8,,104,,116,r,-10.3,,85,,94,r,-9.6,,838.82,,0.3,,3678,,546,
2021-01-01,Ponteix,2021A00054703058,3278,577,,563,,2.5,,276,,263,,4.9,,242,,232,,4.3,,1.19,,485.2,,2762,,257,
2021-01-01,Poplar Valley No. 12,2021A00054703006,3279,190,,195,,-2.6,,105,,97,,8.2,,81,,82,,-1.2,,765.28,,0.2,,3888,,609,
2021-01-01,Rockglen,2021A00054703009,3280,399,,441,,-9.5,,237,,237,,0.0,,199,,207,,-3.9,,2.65,,150.6,,3181,,370,
2021-01-01,Stonehenge No. 73,2021A00054703038,3281,385,,380,r,1.3,,173,,196,r,-11.7,,156,,163,r,-4.3,,956.43,,0.4,,3224,,383,
2021-01-01,Sutton No. 103,2021A00054703074,3282,230,,240,,-4.2,,126,,112,,12.5,,103,,103,,0.0,,792.29,,0.3,,3747,,563,
2021-01-01,Terrell No. 101,2021A00054703096,3283,210,,241,,-12.9,,126,,126,,0.0,,98,,103,,-4.9,,837.04,,0.3,,3836,,588,
2021-01-01,Vanguard,2021A00054703062,3284,184,,134,,37.3,,84,,86,,-2.3,,71,,64,,10.9,,1.86,,98.8,,3912,,619,
2021-01-01,Waverley No. 44,2021A00054703022,3285,295,,336,,-12.2,,143,,160,,-10.6,,127,,143,,-11.2,,1425.78,,0.2,,3525,,484,
2021-01-01,Whiska Creek No. 106,2021A00054703059,3286,512,,465,,10.1,,151,,142,,6.3,,123,,111,,10.8,,845.65,,0.6,,2905,,288,
2021-01-01,Willow Bunch,2021A00054703028,3287,299,,272,,9.9,,186,,167,,11.4,,156,,143,,9.1,,0.91,,329.9,,3513,,483,
